code,subject,number,enrollment,peak_demand,peak_demand_day,section,times,locations,rating,workload,id,name
CHEM 421,CHEM,421,23,28,2019-08-27,1,TTh 9.00-10.15,CRB 123,4.05,2.99,432,Chemical Biology
CHEM 423,CHEM,423,36,38,2019-09-03,1,MW 11.35-12.50,SCL 19,3.7800000000000002,3.5,433,Synthetic Methods:Organic Chem
CHEM 430,CHEM,430,12,16,2019-08-28,1,TTh 11.35-12.50,SCL 21,4,3,434,StatistMechanics&Thermodynamcs
CHEM 437,CHEM,437,1,4,2019-08-26,1,MWF 9.25-10.15,SCL 21,3.29,1.3599999999999999,435,Chemistry of Isotopes
CHEM 440,CHEM,440,0,1,2019-08-22,1,1 HTBA,NA,4.59,3.91,436,Molecules and Radiation I
CHEM 452,CHEM,452,26,28,2019-08-28,1,MW 9.00-10.15,SCL 18,2.98,2.52,437,Organometallic Chemistry
CHEM 457,CHEM,457,0,2,2019-08-22,1,1 HTBA,NA,4.08,3.16,438,Modern Coordination Chemistry
CHEM 470,CHEM,470,14,15,2019-08-29,1,TTh 9.00-10.15,SCL 18,5,2,439,Quantum Chemistry
CHEM 480,CHEM,480,4,5,2019-09-09,1,1 HTBA,NA,3.5,3.5,440,Introduction to Research
CHEM 490,CHEM,490,17,18,2019-09-03,1,M 17.10-18.00,SCL 19,4.42,3.43,441,IndependentResearchInChemistry
CHNS 110,CHNS,110,72,94,2019-08-28,1,M-F 9.25-10.15,WTS B51,4.53,4.32,465,Elementary Modern Chinese I
CHNS 112,CHNS,112,22,28,2019-08-30,1,M-F 10.30-11.20,WLH 014,4.64,3.91,466,ElmntryModChinseHeritSpeakers
CHNS 130,CHNS,130,55,64,2019-08-28,1,M-F 9.25-10.15,YK220 001,4.24,4.04,467,Intermediate Modern Chinese I
CHNS 132,CHNS,132,46,55,2019-08-30,1,M-F 9.25-10.15,WTS A48,4.53,3.86,468,IntrmdtModChinseHeritSpeakers
CHNS 150,CHNS,150,51,60,2019-08-27,1,MWF 9.25-10.15,BASSLB L73,3.93,4.05,469,Advanced Modern Chinese I
CHNS 152,CHNS,152,50,61,2019-08-28,1,MWF 9.25-10.15,YK212 004A,4.25,4.03,470,AdvModChineseHeritSpeakers
CHNS 154,CHNS,154,19,23,2019-08-29,1,MWF 10.30-11.20,LORIA B50,4.1,3.3,471,Advanced Modern Chinese III
CHNS 162,CHNS,162,23,36,2019-08-27,1,MWF 10.30-11.20,TM432 102,4.23,3.14,472,AdvncdMdrnChnsHeritSpeakersIII
CHNS 164,CHNS,164,8,12,2019-09-02,1,TTh 11.35-12.50,DOW 112,3.87,2.93,473,ChnsforRdngContemporaryFiction
CHNS 166,CHNS,166,26,38,2019-08-28,1,TTh 9.00-10.15,SML 207,4.55,3.21,474,Chinese for Current Affairs
CHNS 168,CHNS,168,6,8,2019-08-26,1,MW 13.00-14.15,YK220 100,4.34,3.41,475,Chinese for Global Enterprises
CHNS 170,CHNS,170,10,12,2019-08-27,1,TTh 9.00-10.15,ELM143 106,4.33,4.02,476,Intro to Literary Chinese I
CHNS 172,CHNS,172,5,13,2019-08-27,1,MW 14.30-15.45,TM432 102,4.38,2.88,477,Chinese Scholarly Conversation
CHNS 200,CHNS,200,42,50,2019-09-02,1,MW 10.30-11.20 + 1,WLH 120,4.07,2.73,478,The Chinese Tradition TR
CPSC 100,CPSC,100,233,295,2019-08-28,1,1 HTBA,NA,3.76,4.52,517,Intro Computing & Programming
CPSC 150,CPSC,150,20,55,2019-08-27,1,MW 11.35-12.50,AKW 000,3.17,2.02,518,CompSci&ModrnIntellctualAgenda
CPSC 183,CPSC,183,116,174,2019-08-28,1,MW 16.00-17.15,LC 102,4.07,2.64,519,"Law, Technology, & Culture"
CPSC 201,CPSC,201,150,201,2019-08-27,1,MWF 10.30-11.20,DAVIES AUD,3.22,3.8,520,Intro to Computer Science
CPSC 202,CPSC,202,104,129,2019-08-28,1,TTh 13.00-14.15,DL 220,3.75,3.54,521,MathematiclToolsForComputerSci
CPSC 223,CPSC,223,148,175,2019-08-28,1,TTh 14.30-15.45,OML 202,3.38,4.38,522,DataStructres&ProgrmmngTechnqs
CPSC 257,CPSC,257,31,45,2019-08-28,1,MW 14.30-15.45,BCT CO31,3.67,1.85,523,Real-World InformationSecurity
CPSC 276,CPSC,276,3,15,2019-08-27,1,TTh 13.00-14.15 + 1,DOW 100,3.8,3.2,524,Intro Digital Humanities
CPSC 290,CPSC,290,13,13,2019-09-09,1,1 HTBA,NA,4,3.67,525,Directed Research
CPSC 323,CPSC,323,100,131,2019-08-27,1,MW 13.00-14.15,DL 220,3.99,4.72,526,SystemsProgramng&ComputerOrgzn
CPSC 334,CPSC,334,19,44,2019-08-29,1,TTh 14.30-16.20,CCAM,3.4,2.85,527,Creative Embedded Systems
CPSC 362,CPSC,362,0,9,2019-08-22,NA,NA,NA,0,0,125,Comp Tools for Data Science
CPSC 367,CPSC,367,0,7,2019-08-22,NA,NA,NA,0,0,529,Cryptography and Security
CPSC 376,CPSC,376,50,50,2019-09-11,1,TTh 13.00-14.15 + 1,DOW 100,3.14,3.07,530,Advanced Digital Humanities
CPSC 422,CPSC,422,43,58,2019-09-03,1,TTh 14.30-15.45,AKW 200,4.16,4.28,531,OperatingSysDesign&Implemntatn
CPSC 427,CPSC,427,52,85,2019-08-27,1,MW 16.00-17.15,HLH17 05,3.39,2.7800000000000002,532,Object-Oriented Programming
CPSC 431,CPSC,431,34,45,2019-08-28,1,MW 11.35-12.50,HLH17 115,2.88,2.59,533,Algorithmic Computer Music
CPSC 433,CPSC,433,0,9,2019-08-22,1,1 HTBA,NA,4.48,4.58,534,Computer Networks
CPSC 436,CPSC,436,18,50,2019-08-28,1,TTh 13.00-14.15,LC 101,3.17,3.31,535,The HW/SW Interface
CPSC 437,CPSC,437,62,89,2019-08-30,1,TTh 9.00-10.15,WLH 119,2.88,2.26,536,Intro to Database Systems
CPSC 446,CPSC,446,36,54,2019-08-30,1,MW 9.00-10.15,HLH17 05,3.5300000000000002,3.42,537,Data and Info. Visualization
CPSC 449,CPSC,449,5,24,2019-08-27,1,Th 13.30-15.20,WTS B36,4,3,538,Computer Architecture & AI
CPSC 453,CPSC,453,34,66,2019-08-28,1,TTh 11.35-12.50,HLH17 05,3.11,3.2800000000000002,136,Machine Learning for Biology
CPSC 454,CPSC,454,25,38,2019-08-27,1,MW 11.35-12.50,AKW 200,4.49,3.46,540,Software Analysis&Verification
CPSC 455,CPSC,455,28,61,2019-08-27,1,TTh 14.30-15.45,WTS A60,2.44,3.22,541,Economics and Computation
CPSC 459,CPSC,459,30,52,2019-08-27,1,MW 13.00-14.15,WTS A51,4.21,3.36,542,Building Interactive Machines
CPSC 460,CPSC,460,6,18,2019-08-25,1,TTh 13.00-14.15,AKW 307,3.07,3.55,543,Automata Theory
CPSC 462,CPSC,462,32,62,2019-08-29,NA,NA,NA,0,0,544,Spectral Graph Theory
CPSC 463,CPSC,463,21,46,2019-08-27,1,MW 11.35-12.50,WTS A46,4.33,3,545,Algorithms via Optimization
CPSC 469,CPSC,469,31,48,2019-08-28,1,MW 13.00-14.15,WTS A60,3.6,3.37,546,Randomized Algorithms
CPSC 472,CPSC,472,79,99,2019-08-31,1,MWF 10.30-11.20,WLH 119,3.76,2.7800000000000002,547,Intelligent Robotics
CPSC 474,CPSC,474,69,82,2019-08-30,1,TTh 11.35-12.50,DL 220,3.63,3.07,548,Comp Intelligence for Games
CPSC 475,CPSC,475,103,139,2019-08-30,1,MW 14.30-15.45,DL 220,3,2.8200000000000003,351,ComputatlVision&BiologPerceptn
CPSC 478,CPSC,478,0,2,2019-08-22,1,1 HTBA,NA,3.71,4.05,550,Computer Graphics
CPSC 480,CPSC,480,0,2,2019-09-02,1,1 HTBA,NA,4,3.5,551,Directed Reading
CPSC 490,CPSC,490,30,33,2019-09-02,1,1 HTBA,NA,3.87,3.66,552,Senior Project
DRAM 102,DRAM,102,2,3,2019-09-03,1,NA,NA,0,0,585,Scene Design
DRAM 121,DRAM,121,0,3,2019-08-26,1,W 12.30-14.00,CR305 100,0,0,586,Managing People
DRAM 124,DRAM,124,0,2,2019-08-27,1,M 9.00-12.30,PK205 102,3.2,2.38,587,Intro Lighting Design
DRAM 131,DRAM,131,1,2,2019-08-22,1,F 11.00-14.00,YK222 314,0,0,588,Prin of Mktng&AudienceDevlpmt
DRAM 138,DRAM,138,0,1,2019-08-22,1,WF 10.00-12.00,PK205 101,0,0,589,Production SND DES Boot Camp
DRAM 152,DRAM,152,0,2,2019-08-28,1,T 10.30-12.30,YK149 PAINT-SHOP,0,0,590,Scene Painting
DRAM 158,DRAM,158,0,1,2019-08-22,1,T 12.00-14.00,PK205 102,0,0,591,Introduction to Sound Design
DRAM 219,DRAM,219,1,2,2019-08-27,1,W 9.00-10.45,YK222 EX,0,0,592,Lighting Technology
DRAM 229,DRAM,229,0,1,2019-09-02,1,M 9.00-10.55,CR305 100,0,0,593,Thtr Planning and Construction
DRAM 234,DRAM,234,2,5,2019-09-01,1,Th 12.30-14.00,PK205 101,0,0,594,Visual Storytelling
DRAM 244,DRAM,244,1,3,2019-08-25,1,T 12.30-14.00,YK149,0,0,595,MotionGraphics&FilmProduction
DRAM 271,DRAM,271,0,3,2019-08-27,1,T 9.00-12.30,YK222 314,0,0,596,ProducingforCommericalTheater
DRAM 476,DRAM,476,2,3,2019-08-30,1,1 HTBA,NA,0,0,597,Hot Topics
DRAM 6,DRAM,6,0,1,2019-08-22,1,TTh 9.00-9.50,LC 102,0,0,598,Survey of Theater and Drama
E&EB 035,E&EB,35,14,40,2019-08-26,1,M 13.30-14.20 + 1,OML 201,3.63,2.44,603,The Ecology of Food
E&EB 106,E&EB,106,14,35,2019-08-28,1,MW 13.00-14.15,LC 318,3.91,3.51,604,MalariaLyme&VectorBorneDisease
E&EB 115,E&EB,115,157,211,2019-08-28,1,MW 10.30-11.20,OML 202,3.17,2.44,605,Conservation Biology
E&EB 210,E&EB,210,49,70,2019-08-26,1,TTh 13.00-14.15,OML 202,3.56,3.04,606,IntroStatistics: LifeSciences
E&EB 220,E&EB,220,41,48,2019-08-28,1,MWF 10.30-11.20,ESC 110,3.05,3.21,607,General Ecology
E&EB 235,E&EB,235,13,30,2019-08-25,1,TTh 11.35-12.50,OML 551,4.68,3.73,608,Evolution and Medicine
E&EB 246,E&EB,246,21,28,2019-09-03,1,MW 13.00-14.15,ESC 110,4.37,2.85,609,Plant Diversity & Evolution
E&EB 247L,E&EB,247,13,19,2019-08-28,1,T 13.00-16.00,MARSH 3,4.69,2.08,610,Lab:Plant Diversity& Evolution
E&EB 250,E&EB,250,76,87,2019-09-03,1,TTh 11.35-12.50,BASS 305,4.27,2.4,611,BiologyOfTerrestrialArthropods
E&EB 251L,E&EB,251,6,12,2019-08-29,1,W 13.30-16.30,SCL 168,4.52,4.27,612,Lab:BiolTerrestrialArthropods
E&EB 255,E&EB,255,97,129,2019-08-29,1,TTh 11.35-12.50,YSB MARSH,5,2.5,613,Invertebrates
E&EB 256L,E&EB,256,10,19,2019-08-30,1,Th 13.30-16.30,ESC 210,4.75,2.5,614,Laboratory for Invertebrates
E&EB 295,E&EB,295,14,16,2019-08-27,1,MW 11.35-12.50,OML 201,3.8200000000000003,2.8200000000000003,615,Comparative Physiology
E&EB 300,E&EB,300,81,104,2019-09-02,1,TTh 9.00-10.15,WTS A74,3.46,2.56,151,Primate Behavior and Ecology
E&EB 321,E&EB,321,17,35,2019-08-28,1,T 13.30-15.20,OML 201,3.79,2.81,617,Philosophy of Biology
E&EB 325,E&EB,325,5,10,2019-08-28,1,T 13.00-14.15 + 1,OML 227,3.66,3.09,618,Limnology
E&EB 428,E&EB,428,26,30,2019-08-27,1,MWF 10.30-11.20,KGL 116,3.95,3.03,128,Science of Complex Systems
E&EB 470,E&EB,470,2,3,2019-08-26,1,1 HTBA,NA,3.83,3,620,Senior Tutorial
E&EB 474,E&EB,474,4,7,2019-08-30,1,1 HTBA,NA,4.22,3.51,621,Research
E&EB 475,E&EB,475,23,24,2019-09-02,1,1 HTBA,NA,4.12,3.84,622,Senior Research
E&EB 495,E&EB,495,0,1,2019-08-22,1,1 HTBA,NA,4.28,3.47,623,Intensive Senior Research
EALL 200,EALL,200,42,50,2019-09-02,1,MW 10.30-11.20 + 1,WLH 120,4.26,3.09,478,The Chinese Tradition TR
EALL 204,EALL,204,5,10,2019-08-30,1,W 13.30-15.20,LC 103,0,0,639,Religion in Japanese Lit
EALL 211,EALL,211,15,25,2019-08-27,1,TTh 13.00-14.15,ELM143 106,4.05,2.55,640,Women&Lit: TraditionalChina TR
EALL 212,EALL,212,19,40,2019-08-28,1,TTh 11.35-12.50,PH 310,4.61,3.05,641,Ancient Chinese Thought
EALL 281,EALL,281,11,23,2019-08-28,1,TTh 13.00-14.15 + 1,WLH 203,3.5,3.1,642,JapaneseCinemaAndItsOthers
EALL 286,EALL,286,7,19,2019-08-29,1,M 13.30-15.20,ELM143 106,3.86,2.71,515,ModernNovel inBrazil &Japan TR
EALL 300,EALL,300,9,13,2019-08-30,1,F 13.30-15.20,SML 207,5,2,644,Sinological Methods
EALL 301,EALL,301,8,12,2019-08-27,1,T 14.30-16.30,ELM143 106,5,2.67,645,Medieval Chinese Poetry
EALL 325,EALL,325,6,11,2019-08-27,1,W 13.30-15.20,ELM143 106,4,2.5,646,"Chinese Poetic Form, 1490-1990"
EALL 470,EALL,470,1,1,2019-08-22,1,1 HTBA,NA,4.29,3.5,647,Independent Tutorial
EAST 016,EAST,16,6,13,2019-08-27,1,MW 13.00-14.15,LORIA B50,0,0,650,Chinese Painting and Culture
EAST 130,EAST,130,2,7,2019-09-01,1,TTh 13.30-14.20,WLH 004,4.24,3.14,651,Chinese Religion
EAST 240,EAST,240,42,50,2019-09-02,1,MW 10.30-11.20 + 1,WLH 120,4.07,2.73,478,The Chinese Tradition TR
EAST 241,EAST,241,15,25,2019-08-27,1,TTh 13.00-14.15,ELM143 106,4.38,2.7,640,Women&Lit: TraditionalChina TR
EAST 261,EAST,261,7,19,2019-08-29,1,M 13.30-15.20,ELM143 106,3.86,2.71,515,ModernNovel inBrazil &Japan TR
EAST 303,EAST,303,15,40,2019-09-05,1,F 13.30-15.20,SML 218,4,3.48,655,Hong Kong and China
EAST 309,EAST,309,15,32,2019-08-27,1,W 13.30-15.20,RKZ 241,4.2,3.43,656,Uses of the Past inModernChina
EAST 338,EAST,338,112,171,2019-08-29,1,MW 10.30-11.20,LC 102,3.75,2.66,657,The Next China
EAST 340,EAST,340,9,13,2019-08-30,1,F 13.30-15.20,SML 207,4.02,2.95,644,Sinological Methods
EAST 369,EAST,369,15,30,2019-08-27,1,TTh 9.00-10.15,LC 104,4.1,3.59,87,Cultures of Militarism
EAST 375,EAST,375,0,5,2019-08-22,1,1 HTBA,NA,3.61,3.32,661,China from Mao to Now
EAST 401,EAST,401,17,45,2019-08-28,1,M 13.30-15.20,WALL81 401,3.79,3.13,662,The Two Koreas
EAST 403,EAST,403,12,19,2019-08-28,1,W 15.30-17.20,LC 206,3.7800000000000002,2.94,663,Law & Gender in Japan Empire
EAST 404,EAST,404,8,11,2019-08-28,1,M 15.30-17.20,SML 207,4,3.66,664,Written Word in Japan to 1600
EAST 405,EAST,405,9,20,2019-08-28,1,Th 15.30-17.20,WTS A38,4,2.54,665,Neo-Confucianism in Korea
EAST 411,EAST,411,5,10,2019-08-30,1,W 13.30-15.20,LC 103,0,0,639,Religion in Japanese Lit
EAST 469,EAST,469,9,19,2019-08-27,1,T 9.25-11.15,LORIA 360,0,0,667,Contemporary Art in China
EAST 480,EAST,480,1,4,2019-08-26,1,1 HTBA,NA,3.9699999999999998,3.98,668,One-Term Senior Essay
EAST 491,EAST,491,1,1,2019-08-29,1,1 HTBA,NA,3,2,669,Senior Research Project
ECON 001,ECON,1,14,61,2019-08-26,1,TTh 13.00-14.15,WTS B52,3.18,3.12,673,EconomicIdeasWorthNobelPrize
ECON 108,ECON,108,11,80,2019-08-26,1,TTh 11.35-12.50,WLH 114,4.02,3.07,674,QuantitativeFoundatnsMicroecon
ECON 110,ECON,110,183,391,2019-08-27,1,MW 9.00-10.15,WLH 120,3.21,3.01,675,Intro Microeconomic Analysis
ECON 111,ECON,111,67,90,2019-08-27,1,TTh 9.00-10.15,WLH 114,4.14,2.85,676,Intro Macroeconomic Analysis
ECON 115,ECON,115,331,372,2019-08-27,1,MW 13.00-14.15,YSB MARSH,3.17,2.84,677,Introductory Microeconomics
ECON 116,ECON,116,93,142,2019-08-28,1,TTh 14.30-15.45,LC 101,2.66,2.73,678,Introductory Macroeconomics
ECON 117,ECON,117,162,209,2019-08-28,1,TTh 13.00-14.15,DAVIES AUD,2.84,3.46,679,IntroDataAnalysis&Econometrics
ECON 121,ECON,121,220,259,2019-09-03,1,MW 13.00-14.15,WHC AUD,3.45,3.7199999999999998,680,Intermediate Microeconomics
ECON 122,ECON,122,163,173,2019-08-27,1,MW 11.35-12.50,LORIA 250,3.37,3.3,681,Intermediate Macroeconomics
ECON 123,ECON,123,33,47,2019-08-28,1,TTh 13.00-14.15,WTS B60,2.26,3.44,682,IntmdDataAnalysis&Econometrics
ECON 125,ECON,125,9,24,2019-08-27,1,TTh 9.00-10.15,HLH17 03,3.17,3.5,683,Microeconomic Theory
ECON 135,ECON,135,30,40,2019-08-30,1,TTh 13.00-14.15,WLH 211,2.81,2.86,684,Intro Probability & Statistics
ECON 170,ECON,170,110,163,2019-08-28,1,TTh 14.30-15.45,LUCE 101,3.77,2.46,685,HealthEconomics &Public Policy
ECON 186,ECON,186,17,36,2019-08-29,1,TTh 11.35-12.50,WTS B60,4.31,3.31,686,European Econ Hist: 1700-1815
ECON 251,ECON,251,45,79,2019-08-28,1,MW 9.00-10.15,LUCE 101,3.71,3.58,687,Financial Theory
ECON 255,ECON,255,155,182,2019-09-03,1,TTh 11.35-12.50,LUCE 101,3.74,3.59,688,Intro to Corporate Finance
ECON 330,ECON,330,65,96,2019-08-29,1,MW 10.30-11.20 + 1,WLH 201,3.05,2.39,689,Economics of Natural Resources
ECON 331,ECON,331,33,62,2019-08-27,1,MW 11.35-12.50 + 1,WTS A53,3.94,3.29,690,Econ of Energy &Climate Change
ECON 335,ECON,335,34,43,2019-08-27,1,TTh 9.00-10.15,WTS A30,4,4,691,Growth and Macroeconomics
ECON 338,ECON,338,112,171,2019-08-29,1,MW 10.30-11.20,LC 102,3.75,2.66,657,The Next China
ECON 350,ECON,350,26,31,2019-08-27,1,TTh 16.00-17.15,WLH 117,3.18,3.67,693,General Equilibrium Theory
ECON 361,ECON,361,14,58,2019-08-27,1,TTh 8.30-10.00,EVANS 4400,4.5,3.25,694,Corporate Finance
ECON 363,ECON,363,56,94,2019-08-29,1,TTh 14.40-16.00,EVANS 2400,4.33,3.36,695,Global Financial Crisis
ECON 407,ECON,407,33,35,2019-08-30,1,MW 9.00-10.15,LUCE 202,3.7800000000000002,2.7800000000000002,696,International Finance
ECON 413,ECON,413,57,83,2019-08-28,1,TTh 13.00-14.15,WTS A51,3.7800000000000002,3.54,129,Optimization Techniques
ECON 419,ECON,419,12,24,2019-08-28,1,TTh 13.00-14.15,HLH28 108,3.61,2.49,698,FinancialTimeSeriesEconometrcs
ECON 420,ECON,420,7,21,2019-08-27,1,MW 13.00-14.15 + 1,WTS A46,4.33,2.83,699,Applied Microeconometrics
ECON 424,ECON,424,11,40,2019-08-27,1,MW 13.00-14.20,EVANS 4210,4.11,3.18,700,Central Banking
ECON 425,ECON,425,28,61,2019-08-27,1,TTh 14.30-15.45,WTS A60,2.44,3.22,541,Economics and Computation
ECON 431,ECON,431,29,69,2019-08-28,1,TTh 13.00-14.15,HLH17 115,0,0,702,Economics and Psychology
ECON 438,ECON,438,24,43,2019-08-27,1,MW 13.00-14.15,WTS A48,4.86,2.71,703,Applied Econometrics
ECON 444,ECON,444,28,57,2019-08-27,1,MW 11.35-12.50,HLH17 05,4.26,3.34,704,Market Inefficiencies
ECON 450,ECON,450,16,43,2019-08-27,1,M 13.00-15.20,WLH 203,4.74,4.14,705,Investment Analysis
ECON 453,ECON,453,10,22,2019-08-28,1,M 13.30-15.20,RKZ 02,4.78,4.11,706,The Economics of Gender
ECON 454,ECON,454,6,27,2019-08-27,1,M 15.30-17.20,WLH 003,4.31,3.81,707,Evolution of Central Banking
ECON 456,ECON,456,18,43,2019-08-22,1,Th 13.30-15.20 + 1,WLH 202,4.37,4.52,708,Private Equity Investing
ECON 460,ECON,460,16,19,2019-08-27,1,W 9.25-11.15,WTS B52,3.7,2.61,709,Financial Economics
ECON 475,ECON,475,19,54,2019-08-27,1,W 9.25-11.15,HLH17 115,3.68,2.15,710,DiscrimnatnInLawTheory&Practce
ECON 480,ECON,480,23,72,2019-08-27,1,M 9.25-11.15,RKZ 02,4.43,2.46,711,BankingCrisesFinancialStablty
ECON 481,ECON,481,6,16,2019-09-02,1,T 9.25-11.15 + 1,HLH28 B-1,4.37,3.29,712,Empirical Microeconomics
ECON 483,ECON,483,2,9,2019-08-25,1,M 9.25-11.15,HLH28 108,3.29,3.14,713,Political Economy of Migration
ECON 491,ECON,491,49,49,2019-09-11,1,1 HTBA,NA,4.03,3.41,714,The Senior Essay
ECON 492,ECON,492,3,5,2019-08-26,1,1 HTBA,NA,4.18,4.18,715,The Senior Essay
ECON 498,ECON,498,1,2,2019-09-03,1,1 HTBA,NA,4.2,3.6,716,Directed Reading
EDST 065,EDST,65,18,57,2019-08-26,1,MW 9.00-10.15,LORIA B50,4.53,2.86,757,Education & Life Worth Living
EDST 110,EDST,110,90,114,2019-08-28,1,TTh 10.30-11.20,LC 101,3.69,3.4,758,Foundations inEducationStudies
EDST 125,EDST,125,28,81,2019-08-27,1,W 13.30-15.20,CSC SENN,4.34,2.68,462,Child Development
EDST 127,EDST,127,16,43,2019-08-28,1,T 14.30-16.20,CALHIL DCC,4.43,2.89,463,Early Childhood Education
EDST 135,EDST,135,20,40,2019-08-27,1,MW 9.00-10.15,WLH 114,4.18,2.88,761,Philosophy of Education
EDST 144,EDST,144,14,49,2019-08-27,1,MW 14.30-15.20 + 1,WLH 119,3.7,2.75,762,"Race, Ethnicity, & Immigration"
EDST 162,EDST,162,9,31,2019-08-27,1,Th 15.30-17.20 + 1,WLH 204,4.5,3.2800000000000002,763,MethodsInQuantitativeSociology
EDST 223,EDST,223,14,28,2019-08-27,1,W 15.30-17.20,RKZ 02,0,0,764,Theory&PracticeCivicEducation
EDST 237,EDST,237,19,42,2019-08-28,1,TTh 14.30-15.45,SML 118A,4.36,3.52,765,Language and Mind
EDST 238,EDST,238,13,17,2019-08-26,1,T 13.30-15.20,YK212 004A,3.25,3.38,766,The Education Beat
EDST 255,EDST,255,25,44,2019-08-27,1,W 13.30-15.20,WALL81 201,3.94,3.46,18,Education and Empire
EDST 290,EDST,290,23,41,2019-08-27,1,W 19.00-20.50,SML 177,4.76,3.35,768,Leadership and Change
EDST 312,EDST,312,15,24,2019-08-28,1,Th 9.25-11.15,RKZ 05,4.36,3.18,769,Idolizing Education
EDST 400,EDST,400,24,24,2019-09-02,1,T 9.25-11.15,HLH17 113,3.42,3.42,770,Advanced Topics in Ed Studies
EDST 490,EDST,490,0,3,2019-08-27,1,1 HTBA,NA,4,4.25,771,Senior Essay Independent Study
EENG 101,EENG,101,1,2,2019-08-27,1,TTh 14.30-15.45,BCT,3.75,3.17,772,The Digital Information Age
EENG 200,EENG,200,69,85,2019-08-27,1,TTh 11.35-12.25 + 1,GR109 ROSENFELD,3.63,3.71,773,Introduction to Electronics
EENG 202,EENG,202,25,31,2019-08-27,1,MW 14.30-15.45,HLH17 05,2.42,3.17,774,CommunicatnsComputationControl
EENG 235,EENG,235,1,1,2019-08-27,1,1 HTBA,NA,4.67,3,775,Special Projects
EENG 320,EENG,320,10,15,2019-08-30,1,TTh 13.00-14.15,HLH17 113,4.03,4.19,776,Intro to Semiconductor Devices
EENG 325,EENG,325,11,16,2019-08-27,1,TTh 11.35-12.50,ML 104,3.79,3.15,777,Electronic Circuits
EENG 397,EENG,397,0,2,2019-08-24,1,TTh 11.35-12.50,DL 316,4,4,778,MathematicalMethodsInEngneerng
EENG 400,EENG,400,0,2,2019-08-22,1,1 HTBA,NA,4.4,3.2,779,Electronic Materials
EENG 422,EENG,422,5,24,2019-08-27,1,Th 13.30-15.20,WTS B36,4,3,538,Computer Architecture & AI
EENG 426,EENG,426,10,12,2019-08-27,1,MW 11.35-12.50,ML 104,4.7,4.7,781,Silicon Compilation
EENG 428,EENG,428,10,16,2019-08-27,1,MW 9.00-10.15,HLH17 03,3.38,3.47,782,Cloud FPGA
EENG 432,EENG,432,4,10,2019-08-27,1,MW 13.00-14.15,DL 514,3.7800000000000002,3.61,126,Linear Systems
EENG 433,EENG,433,6,8,2019-09-02,1,TTh 13.00-14.15,BCT CO31,4.09,2.94,784,Dynamic&DiscreteOptimization
EENG 436,EENG,436,1,7,2019-08-22,1,TTh 11.35-12.50,DL 514,4.23,4.18,785,Systems and Control
EENG 437,EENG,437,57,83,2019-08-28,1,TTh 13.00-14.15,WTS A51,3.7800000000000002,3.54,129,Optimization Techniques
EENG 445,EENG,445,13,14,2019-09-06,1,TTh 11.35-12.50,HLH17 113,4.5,3.25,346,Biomedical Image Processing
EENG 449,EENG,449,0,2,2019-08-22,NA,NA,NA,0,0,788,Computer Architecture & AI
EENG 450,EENG,450,7,8,2019-08-27,1,MW 11.35-12.50,BCT CO31,4.5,3,789,AppliedDigitalSignalProcessing
EENG 452,EENG,452,16,19,2019-09-04,1,TTh 14.30-15.45,HLH17 115,3.76,2.54,790,Internet Engineering
EENG 468,EENG,468,6,6,2019-09-11,1,1 HTBA,NA,3.87,3.41,791,Advanced Special Projects
EENG 471,EENG,471,4,5,2019-09-05,1,1 HTBA,NA,4.05,3.5,792,SeniorAdvancedSpecialProjects
EENG 475,EENG,475,103,139,2019-08-30,1,MW 14.30-15.45,DL 220,3.1,2.83,351,ComputatlVision&BiologPerceptn
ENGL 010,ENGL,10,14,24,2019-08-26,1,MW 11.35-12.50,LC 205,4.48,3.86,871,Jane Austen
ENGL 025,ENGL,25,7,17,2019-08-26,1,MW 9.00-10.15,LC 105,4.5600000000000005,3.11,872,Modern South Asian Literature
ENGL 027,ENGL,27,15,57,2019-08-26,1,MW 14.30-15.45,LC 213,4.75,3.13,873,Poetry and Protest in America
ENGL 029,ENGL,29,0,2,2019-08-22,1,1 HTBA,NA,0,0,66,Henry Thoreau
ENGL 114,ENGL,114,387,902,2019-08-26,1,TTh 11.35-12.50,LC 103 + 1,4.31,3.86,875,Writing Seminars
ENGL 115,ENGL,115,55,98,2019-08-26,1,MW 11.35-12.50,WLH 115,4.16,3.48,876,Literature Seminars
ENGL 120,ENGL,120,193,319,2019-08-26,1,TTh 11.35-12.50,LC 206,4.52,3.55,877,Reading & Writing Modern Essay
ENGL 123,ENGL,123,60,96,2019-08-28,1,TTh 11.35-12.50,PH 312,4.43,3.09,878,Intro to Creative Writing
ENGL 125,ENGL,125,15,33,2019-08-27,1,MW 13.00-14.15,LC 203,3.65,3.56,879,English Poetry I
ENGL 126,ENGL,126,26,37,2019-08-29,1,MW 14.30-15.45,LC 318,4.21,3.84,880,English Poetry II
ENGL 127,ENGL,127,60,99,2019-08-26,1,TTh 9.00-10.15,LC 105,4.05,3.43,881,American Literature
ENGL 128,ENGL,128,40,74,2019-08-27,1,TTh 11.35-12.50,LC 204,4.25,3,882,World English Literatures
ENGL 129,ENGL,129,22,30,2019-08-28,1,TTh 13.00-14.15,LC 212,4.19,3.63,883,Tragedy inEuropean Lit Traditn
ENGL 150,ENGL,150,17,32,2019-08-27,1,MW 13.00-14.15,LC 210,4.41,2.55,884,Old English
